UMAP1,UMAP2
0.47736967,-2.5111651
1.8413763,-2.4428384
12.357576,1.2415373
2.726386,-5.4238796
2.2962356,-5.8969955
13.5688305,5.4414253
13.67697,4.0232744
-0.3003449,-5.189876
12.573431,5.2124147
-0.1421036,-4.826656
2.8382673,-1.7245327
2.4642642,-3.3144915
13.958255,3.1739154
12.711708,4.4082246
2.6170595,-2.9981875
0.5268352,-2.5579937
12.885635,5.201163
2.0770717,-1.3267395
1.7780943,-3.1271534
-0.9386526,-5.8627186
1.3718984,-4.585563
-0.34927902,-6.0955005
13.282908,4.9864883
12.622493,5.093365
12.133534,4.6126065
-0.60792977,-3.1249914
-0.7607358,-5.2755213
0.17807572,-4.2376194
-0.36713925,-5.0857306
13.295529,2.8410149
0.35035792,-6.2491894
12.429768,6.1216846
0.029411398,-2.815227
11.96502,1.9710656
0.1407815,-5.207627
13.2321825,6.564979
2.638068,-4.0747323
12.865303,1.4918625
11.948102,4.384291
0.63832355,-4.330182
1.5227123,-2.5298395
-0.2671483,-5.6404343
13.699869,3.5682569
2.7486503,-4.9385443
2.952828,-2.9613125
-0.5093856,-5.6387615
3.213738,-3.2354777
11.792429,1.8004541
13.423897,5.958705
2.3734825,-5.5104113
13.254677,5.4528728
11.260194,1.3427733
-0.54957056,-3.4898505
-0.1244765,-5.7200704
-0.12964681,-5.209181
3.37631,-3.433343
3.1979668,-4.740911
13.182326,3.0216086
0.37003458,-6.2329106
-0.6117121,-5.7181673
13.196757,2.821611
13.242058,5.064459
13.614232,5.25222
12.170105,4.7311835
12.204799,2.6704254
3.042817,-5.056763
12.464552,0.87257946
13.025273,4.9860697
-0.42302886,-3.796258
12.894575,5.226383
2.4301243,-3.2809567
2.4310784,-3.7093925
12.881251,4.792612
0.45860958,-2.9915905
12.9649,4.681232
13.234159,3.0698512
0.9533389,-2.4295454
-0.09780241,-5.8255963
0.8767419,-5.9683423
13.975992,3.062679
-0.987206,-5.94233
1.707633,-3.5560424
0.30951345,-4.484029
0.1365794,-5.532491
0.9360134,-2.3629804
12.242046,1.2235692
13.399993,5.8289924
2.0550475,-2.4334173
1.643919,-4.1468287
0.59521264,-5.3500924
12.001734,2.9895697
2.8419032,-4.9950595
2.7006485,-4.984452
12.8476925,1.5824895
1.7875282,-2.8595257
-0.45169365,-5.836053
10.85876,5.6383944
1.0297424,-2.1669283
0.7973769,-3.2959204
12.874604,6.46156
0.46869498,-2.216693
10.394028,2.162132
13.7431555,3.5738628
12.58924,1.9023142
0.5390281,-6.0414696
12.331371,3.3221905
1.9129634,-4.975053
14.051933,3.5333333
2.7303712,-4.4110374
2.0897095,-3.8370686
13.15129,4.962541
1.1295143,-2.656002
2.6752105,-3.2976828
12.753019,1.4134142
13.408608,2.7765827
12.951217,6.7486
0.102967754,-3.4812446
11.140107,5.9960876
10.164179,2.4301023
13.191433,2.748852
12.083624,2.058146
-0.28323472,-2.9359515
1.2336887,-2.8250282
0.89384955,-4.3922343
13.101599,6.0136003
11.85378,5.439734
12.745692,6.0784597
13.541825,3.2603478
2.6762369,-3.5183067
0.6854483,-5.275319
2.7353902,-3.7882025
2.1114357,-3.7316887
0.012024717,-2.5871267
-0.5566467,-5.511312
12.500677,3.303635
-0.040770188,-3.383217
1.8941543,-4.4431295
0.51861787,-4.4454336
12.937116,1.7484415
13.112695,2.6650202
11.592475,4.4917526
0.7444762,-3.9051259
2.033749,-2.1295788
-0.41088387,-6.274208
3.216118,-3.1814454
12.877951,5.9888735
1.701643,-4.403192
13.314704,3.409554
-0.38105276,-4.6097865
-0.032300096,-3.856518
0.540815,-2.2566946
11.340585,2.2757812
11.127824,5.519959
0.95299745,-2.8342044
2.283433,-3.8704822
12.818253,1.5744147
0.54871464,-2.502142
12.021507,3.5603695
12.885763,3.1239638
-0.61187756,-4.940062
2.2508755,-4.6657653
2.1997552,-3.6946049
0.3717304,-3.2147634
0.63956624,-3.2660758
12.134603,2.028512
12.467258,4.6448474
12.906389,3.3339021
-0.03905919,-4.4667373
1.4290076,-4.814179
12.3695135,3.0898554
2.230711,-3.5981152
11.757265,1.2739829
0.7872863,-3.0174406
12.805422,5.684962
0.68089986,-6.071196
1.4016478,-2.199065
0.91336215,-5.534519
0.71815556,-5.7631693
0.40810102,-6.0921974
11.913884,1.6167505
2.1516507,-3.6362007
1.1182007,-3.7670412
2.947257,-5.13006
12.728891,4.6024737
1.0030823,-6.249483
1.055704,-2.5641286
1.2245078,-4.225708
0.8577949,-4.579824
-0.35843715,-5.782987
12.14791,1.4524357
12.864108,3.330349
13.9624195,3.338566
11.046251,1.038388
11.223263,1.2819324
1.1205693,-2.8316536
2.4865613,-4.6510096
1.1745578,-5.5192857
11.58395,2.3001282
-0.38791245,-5.3442674
13.51109,5.430539
12.850392,4.231116
-0.7910488,-2.7534103
12.176185,5.647713
-0.49993914,-2.693828
12.221309,1.2938263
10.023482,2.5634685
12.864559,1.2451779
1.2392806,-4.5681825
13.190412,5.000917
-0.07392098,-3.5730374
-0.3063164,-2.7531803
12.810348,2.9100664
13.655642,5.9725995
13.818395,7.557222
-0.06505783,-5.9068036
0.16867793,-5.89994
11.579939,5.1288404
2.1179693,-3.573114
1.2480217,-6.0552144
0.64853495,-2.747698
10.690964,2.4891512
10.924321,4.0187
2.2885413,-3.4862318
13.310754,5.462386
0.0052149976,-3.20783
0.8924073,-2.2879584
1.18861,-6.0058637
3.2444837,-3.2067308
13.563723,5.4540114
-0.9287544,-3.656909
13.143805,2.668512
0.92872065,-2.40366
-0.75272065,-5.5985155
2.0967207,-3.48412
1.9574283,-2.931024
12.848526,4.4873624
1.1537626,-3.1902294
12.705897,5.775795
0.16291486,-2.6700792
0.9748763,-2.1930926
13.780693,3.1984346
11.881582,1.9005464
-0.21452023,-6.0163817
13.412003,5.510848
13.239106,4.7380533
12.787677,4.478099
3.741121,-2.932582
13.1351385,5.7150393
13.112116,3.7419152
-0.19103025,-4.3531933
-0.00066071,-5.140833
12.338827,6.2692122
11.790273,2.1754267
0.7117105,-2.3855686
-0.14552476,-5.372904
13.408693,3.1511075
-0.23623177,-3.9535706
12.860915,4.3264656
1.5832832,-2.3063812
-0.95450574,-4.7866325
2.2914052,-5.2401595
0.62033963,-6.2782154
13.137272,6.5301294
0.645176,-5.5424767
13.152627,3.6443384
11.920256,1.5631405
0.47577837,-3.0635204
11.689884,6.1550064
12.064638,5.3427153
-0.7637278,-4.705311
-0.10929527,-5.9030356
12.92375,2.5607164
1.891327,-2.4451487
-0.1332027,-5.1101556
1.6403039,-3.8287244
0.1659519,-2.997461
13.108141,3.2861502
0.14415716,-2.9677358
13.093574,2.65648
0.89219844,-2.6310055
0.9047409,-2.171962
-0.20873043,-4.388853
12.47282,6.5712767
1.7073247,-3.823531
-0.35356647,-4.5656576
12.814064,2.8801777
0.6297968,-6.019966
13.453473,6.7739244
-0.47912082,-5.994171
-0.2923401,-5.8135495
1.8362529,-4.0583425
0.14511581,-3.562192
0.21032706,-4.9870644
1.8034819,-4.8664746
0.5832369,-4.036351
11.184386,2.5866492
12.653096,5.1646338
0.81465966,-2.9107783
-0.60001683,-3.1219335
2.5722291,-3.197666
0.35850215,-2.6250484
12.6328535,1.1133522
0.7511196,-3.9953303
0.37740934,-3.3580818
12.172853,1.3279165
11.495962,6.4772024
11.484205,2.9348748
11.441892,5.071973
0.4789794,-2.5958524
3.4624732,-3.472673
12.407107,6.307056
-0.30027416,-5.7991853
0.8606875,-2.3707144
11.340128,2.305926
11.997756,1.5667416
12.507364,4.4350915
12.403232,6.2408543
0.22175305,-5.396932
-0.5758021,-2.8282695
11.414324,3.021337
0.21231993,-5.193165
13.563872,2.7386942
12.180196,3.018692
13.186433,2.9097548
-0.2857261,-4.6446095
11.004026,2.197677
-0.20496163,-5.2885737
11.974968,4.3225627
1.9402492,-4.205103
0.2224951,-5.6326094
12.49982,6.211162
0.42404118,-4.1075425
13.77343,3.5446558
1.9017755,-4.508226
0.9886503,-5.8527226
1.5864661,-2.4703689
11.628791,1.5868733
12.473421,1.6686128
11.968788,5.2427535
11.732903,2.7098176
13.088706,2.9311063
2.0080855,-4.928771
1.7266188,-2.870926
1.2605209,-5.523011
2.8318472,-4.276331
0.66527253,-2.8349316
0.90744317,-3.18077
2.8341162,-5.367643
0.3864634,-4.0621367
0.8154389,-2.4296267
-0.4115548,-5.995776
11.71737,1.7872095
0.07598198,-6.2125983
-0.8032582,-5.955808
13.262499,5.1915913
2.04514,-3.7712824
2.1090243,-2.8176596
13.212725,2.0954928
13.575722,3.457872
0.6026933,-2.5862138
0.34622705,-2.8831723
1.6926844,-2.361016
12.72357,5.081711
-0.608671,-2.5772946
2.7985256,-4.460357
1.0309277,-2.4364986
11.237841,3.190605
-0.90578383,-5.9991813
11.18683,2.5295184
13.786072,3.6030478
0.91008276,-5.950638
12.118503,1.5177478
12.880207,3.1476173
11.546057,2.3719811
11.197208,1.3454639
12.456257,4.4219394
-0.35963807,-5.8766227
1.1960301,-5.2304177
-0.7723589,-6.3404717
-0.47390008,-2.6770926
13.7221365,3.4225154
3.597596,-4.2874975
11.846615,5.7306194
-0.07921421,-5.6062627
11.847188,5.761569
13.530495,3.4810638
3.3378177,-2.3272607
11.900852,1.7071779
0.30113283,-5.2512283
12.46966,5.819424
12.865091,1.4946572
2.6074405,-5.1998224
11.082425,3.219819
0.4031513,-6.3002086
0.36653107,-3.0642588
13.246058,4.7777767
1.3295482,-4.4378676
2.5136564,-6.283079
-0.09745493,-2.639612
0.9551683,-2.886508
3.5359788,-4.201247
0.19645219,-2.8789814
1.9638846,-3.6086502
2.6850567,-4.4346714
11.791344,5.6240473
13.832578,3.6497052
1.7184108,-3.339689
-1.0893625,-5.89276
13.579965,3.7146244
3.4029753,-2.2811582
11.86522,4.9635262
2.732802,-5.056962
2.3041942,-3.6962652
0.27127033,-3.2951744
12.97547,4.1755447
13.117128,6.5976777
3.916524,-2.88728
2.8869863,-5.060863
1.2470471,-5.361653
12.873233,1.5313038
1.347215,-6.085318
0.7601757,-2.39986
1.3261356,-4.344739
11.531238,0.8893705
2.2352538,-3.4022346
1.3164057,-4.91932
0.81645507,-5.555914
1.6142179,-3.5853474
12.9607,5.108983
-1.3304907,-5.8623366
12.643269,3.1938193
1.5860438,-3.057982
13.228449,5.7961164
2.7669535,-3.69921
0.099633746,-2.981846
1.5282043,-3.1515086
13.030577,5.2521563
1.0953217,-5.2909465
0.1388312,-5.819395
12.082466,4.794936
11.870541,4.8687954
1.7360531,-3.0874755
12.274365,5.485151
10.753696,3.011006
12.626756,4.502437
-0.49133798,-5.598004
11.121656,3.2188
-0.62232816,-2.6538923
0.68450516,-2.55116
11.887348,4.437535
0.5160128,-5.3269095
-1.0746552,-5.969771
11.045918,3.307947
13.339958,5.6967807
14.003564,2.9891245
-0.76549757,-6.006523
1.1172706,-2.0781956
0.27825752,-5.5077605
-0.13524604,-5.2144275
-0.8316424,-5.426542
3.7706409,-2.9458363
13.050719,3.5712688
0.9089368,-2.2789214
-0.2558423,-4.70299
-0.4644024,-3.9551291
-0.10820787,-3.5061119
2.3603323,-5.2400484
2.9639156,-3.722822
1.0982773,-5.0989304
3.4388468,-3.4937768
13.590252,5.984282
1.0391965,-5.42495
2.0780406,-4.2775426
-1.3338575,-5.863328
-0.3921111,-4.384596
2.279413,-1.6890291
12.171862,5.566822
13.341942,5.489728
13.452765,4.717485
13.425629,3.383581
0.5759341,-4.5161104
13.953042,6.0973167
13.487599,6.1271505
3.7653666,-3.581036
12.265633,5.4091983
0.63823503,-3.4900756
12.188672,1.794117
12.030991,4.9963574
13.231041,2.9407141
0.6713511,-5.596126
14.0924225,6.9452477
-0.055139605,-2.7684193
11.9278,2.0828912
0.9967349,-6.079353
13.042532,6.1106553
0.23218942,-2.481576
11.231067,5.8547754
13.186331,3.4609277
1.1121153,-5.997212
2.080806,-3.0938044
0.087510645,-5.2876124
1.6851953,-4.3483834
11.298004,2.3372154
11.762579,4.762831
1.1510636,-3.9470472
13.318612,5.3969574
11.299254,2.2716298
0.5237668,-2.24802
2.7774653,-4.4945292
-0.062240027,-5.150025
11.968606,4.4015036
12.706924,1.6087193
3.7064297,-3.5823157
0.8528459,-3.2268147
12.5367155,1.5236604
-0.5528995,-6.1210217
2.0296018,-4.465184
0.58289343,-2.6250887
2.6859696,-4.720504
13.327638,3.5550451
13.059017,6.746777
11.254824,1.6972744
0.6177205,-3.3416948
2.8474104,-4.3647914
0.83272135,-5.5780697
2.5541298,-6.3298182
-0.018267466,-5.025176
0.54810154,-2.8616881
13.01612,3.3366125
13.186014,2.04243
11.601575,1.2718744
11.715291,3.1494453
2.0795135,-3.2880964
13.086232,6.6188107
3.263432,-2.402185
13.035094,5.7216926
13.054861,5.6996236
12.676855,5.71317
2.5779324,-6.349402
3.4411845,-5.2907476
10.868894,3.6609972
1.7273973,-4.481618
2.5252323,-3.349395
3.5641527,-3.7202544
13.103107,2.635039
3.3954763,-2.2623708
13.263457,4.78829
1.5666443,-2.6614354
0.08575858,-5.253917
-0.9819854,-3.6352184
0.5576786,-6.0249686
-0.08448811,-3.3537676
0.06063131,-5.1142473
12.0684805,1.7387768
12.93539,3.3797665
11.878627,5.7670674
0.8334176,-5.7114363
13.203724,3.6428611
-0.6571895,-3.919316
13.589805,4.6658435
-1.1827852,-3.9642923
0.54347396,-6.4514217
13.074555,6.8066196
13.093914,6.542922
13.800369,3.1095672
0.7098739,-6.0261793
12.110777,1.4950447
12.819746,5.106234
13.387499,4.7780957
2.519465,-4.1694884
11.895289,1.4726462
12.906371,3.3264644
2.179046,-4.0217543
-0.6289603,-6.029114
2.979114,-3.1283395
2.5691233,-3.4036882
-0.8209573,-3.649029
1.4575506,-4.013561
-0.2784201,-4.219055
0.51515037,-4.5112123
2.0130327,-2.6582928
12.08595,6.3981986
11.722745,4.783336
0.3828882,-2.0228658
1.7323979,-2.4471815
0.16835655,-3.5560653
0.10444974,-6.002223
1.4927409,-2.4117894
-0.679271,-4.6153297
12.045791,1.8809537
-0.7191482,-5.0595946
13.5592375,6.294767
12.26521,6.402199
11.375091,2.3205826
-0.13097079,-5.5309587
12.073228,1.5729647
11.306009,3.101805
13.6206,3.5828226
12.84711,6.586043
0.7797336,-5.863323
2.2123454,-2.8027446
0.17190811,-3.1403265
0.4540924,-6.4084716
1.0086333,-5.4067645
3.511186,-3.6069753
12.970415,6.4584618
11.764768,1.4512323
1.7084355,-2.3890939
12.601153,6.3582516
0.30249214,-2.4231443
13.060606,5.65414
3.4439187,-3.3876112
-0.6234404,-5.8183
-0.6210662,-5.4071755
2.9013162,-3.58662
3.7208474,-2.7594843
1.5962473,-2.1519578
1.9390663,-1.5324408
2.6841156,-5.1030936
13.953766,3.1738212
11.36236,2.5028477
13.481157,6.817443
11.257497,6.0051723
-0.4783261,-4.5825753
12.478031,3.2620995
2.4619884,-5.2570157
11.089546,2.2520711
-0.3316455,-5.723122
12.334533,6.052172
0.38461137,-3.2187304
11.772759,5.8977437
-0.7598326,-4.675273
-0.5771577,-5.064901
0.04008494,-2.6544955
2.4158843,-5.1162543
12.436012,5.449747
12.601035,3.0602617
12.043348,5.271469
2.478088,-3.0651524
1.4138669,-2.5420947
2.1974027,-3.0867572
2.703079,-4.5998373
11.883525,4.3049526
2.5677,-3.698096
0.789764,-2.1996138
1.2761991,-5.098709
2.1085882,-1.938423
0.4651686,-5.4797635
-0.8474442,-5.7843523
12.385719,2.7162168
0.083271384,-3.440706
0.58098227,-5.5117474
3.0794249,-5.0691323
2.2849245,-4.931065
-0.0011404272,-2.719991
-0.47520941,-5.043742
-0.71482927,-5.5863833
2.1109588,-2.0360606
2.8103068,-5.2705975
-0.63397443,-5.8052564
0.5170917,-5.395765
10.917141,3.578291
12.304031,6.4321237
1.1174233,-3.844778
1.8091419,-5.2405477
2.2025526,-5.269751
0.87010294,-2.4446354
-0.38003215,-5.7060246
13.80119,3.0881236
3.7406373,-2.8587806
-0.051575106,-5.077665
10.791483,5.097205
0.6362548,-5.1851206
2.1263123,-2.944098
2.966194,-5.4850197
11.892278,4.1338067
2.2800763,-2.937782
1.842082,-4.4414916
0.53766036,-2.7273738
11.688746,1.7566588
-0.6791341,-2.6421936
1.8723382,-2.7687333
13.548614,5.469237
-0.18724866,-2.6180613
-1.1475394,-6.121415
11.944026,3.2478182
1.2122005,-1.8515483
0.79952073,-2.399166
0.52665466,-6.459534
2.858277,-5.2873497
2.2780166,-3.9220457
12.352397,3.7893355
12.279969,5.3851504
3.1545382,-4.8388505
0.53600854,-2.6664844
-0.33626902,-5.2636743
1.090907,-4.2186437
0.38376355,-2.3330038
11.4595175,5.7478495
2.620941,-4.7079334
1.9256152,-3.754281
-0.52561146,-5.4451656
13.245231,4.850333
2.2361395,-3.6978471
2.5242066,-3.0606058
10.702651,5.4829297
3.599129,-4.975495
0.71826243,-5.610392
1.983242,-3.7413685
1.3946694,-5.4168777
-0.16606015,-5.862393
11.438459,5.3295846
11.703296,1.7082773
11.3654,5.440858
10.875792,4.1707916
-0.20784168,-5.0969906
12.726295,4.2480574
1.8001955,-4.7819963
-0.6058425,-3.9257023
0.6295795,-6.3350325
12.999675,5.931705
2.2375739,-4.138272
1.6423268,-6.172454
12.302614,1.54584
1.1851041,-4.784883
0.07632132,-1.8592242
12.654443,1.1436964
-0.20628966,-3.8150213
0.6065957,-3.461116
3.1674929,-4.285248
12.787213,1.1778253
12.7098875,5.803675
-0.33268347,-3.5501242
12.413942,6.3201056
0.52577835,-4.791935
3.0030704,-5.2977133
11.8114805,1.7029738
11.550134,0.97170603
13.154724,6.93329
2.692293,-3.3485775
12.810245,2.9544914
1.8188119,-4.6431375
1.2246219,-4.5447836
-0.208945,-5.968139
0.7551113,-5.709226
13.247,3.5090961
12.694692,1.8308514
-1.0279975,-5.963753
12.046768,5.693683
0.9434681,-6.5391736
1.4355006,-4.8203063
12.881125,1.4082869
-0.3973606,-6.352587
0.4540414,-2.9684236
1.7477654,-2.7936773
11.438404,2.8997216
13.557101,5.510478
2.7364814,-2.5046885
12.8899355,1.2996219
1.379293,-2.3914032
13.035649,5.93015
12.824546,1.605958
13.246063,2.7838235
2.7067387,-2.7324767
0.30203056,-1.9175014
1.6284791,-2.017263
12.450308,5.211327
0.021378104,-2.6025512
0.88086224,-3.3528962
0.99491245,-2.5657022
1.3680861,-4.412518
12.068616,5.519992
11.007518,2.4387162
1.0429174,-6.0938168
-0.013440081,-2.5822022
11.917789,4.3005114
12.737387,4.231307
13.201227,5.8033485
12.815198,2.3056247
-0.35621744,-5.8054113
7.7473755,8.162331
0.46964282,-3.36819
10.374785,11.503659
9.575224,10.050137
9.957899,10.211004
0.8656802,-2.1716363
0.14681537,-3.516862
1.4305304,-4.8443136
0.581831,-2.9339817
1.8514804,-4.435725
11.439902,3.0233047
-7.571793,-0.23702864
1.0308276,-5.934765
1.9306802,-1.2653831
-7.15161,-0.25901738
1.6181418,-2.545821
9.9673395,10.073977
-6.864615,0.46971855
3.1072156,-5.010669
9.72149,10.623089
3.9455671,-2.8615408
-6.5101004,0.42859504
12.109257,4.1768446
9.799676,10.140769
13.671614,3.2656255
2.2622392,-2.6996787
10.866101,5.8564525
1.9489288,-2.8518703
12.926723,2.9016628
0.044212732,-2.7473392
12.458717,3.0988805
-6.430795,0.14580011
9.314139,10.051439
12.20308,2.0547316
1.4488556,-6.0741634
1.7235118,-3.310376
-6.887766,0.17136824
-6.210113,0.2261208
9.18813,10.6425085
13.423341,6.7136245
10.940018,5.415653
-7.2553306,0.0715834
9.440059,10.526405
1.8047684,-4.800944
-0.1173306,-5.4440265
1.7605987,-5.133719
1.9754053,-3.5547466
-7.525857,-0.17949402
12.192517,1.1572016
0.047780592,-4.1306667
-0.0722536,-2.9925556
-5.967096,0.49457553
-6.3012557,0.08800545
0.87242264,-5.7035503
-7.165148,-0.26772013
11.870103,4.887477
1.3806912,-5.8970313
9.703999,10.590388
12.303402,5.351733
1.3126031,-4.5824866
13.414412,5.5562053
1.0722315,-5.4263043
0.020677743,-2.5894418
9.392524,10.191176
-7.2450156,0.47658432
1.1276886,-2.4376223
2.0742934,-4.2168727
1.6458431,-3.9850774
13.054607,5.10196
-7.711481,0.73600096
-6.457944,0.67198175
1.1337665,-6.330778
0.5289193,-4.2917023
10.053865,11.305945
11.348985,3.1254988
11.9411335,6.275766
12.552176,1.6486567
1.7633772,-6.2085676
-7.4526854,0.5538051
1.1132957,-5.356225
-7.766938,0.39227372
1.4309306,-4.1119385
-7.08266,-0.11656412
-6.344489,0.6569933
-7.698108,0.6161097
-7.2618933,0.8165942
-0.9775725,-2.2450168
10.719095,2.6122072
0.79819,-2.7083437
1.8376659,-3.9801712
12.713284,3.0837219
2.8629653,-5.035226
-6.0740314,0.3207562
2.5092611,-3.154196
-0.9785349,-4.356472
0.48462,-2.3961349
-7.7619944,0.15992373
12.356031,1.1766374
2.7308898,-5.4321017
2.308129,-5.934084
13.570432,5.435418
13.62625,4.273763
-0.31256256,-5.242299
12.416992,5.294241
-0.17189692,-4.861096
2.8183568,-1.7516919
2.4585497,-3.1975105
13.972633,3.1715233
12.732141,4.431893
-7.5189896,-0.10954521
0.50181377,-2.57591
9.818882,10.640871
2.0790393,-1.3487219
1.6862822,-2.9615161
-0.9567129,-5.8634834
1.3157332,-4.6871467
-6.308493,0.7515797
12.973499,5.1207247
12.635797,5.121384
12.090232,4.6111135
-0.63485914,-3.105651
-0.862848,-5.3452663
-6.944605,0.656584
-0.36008748,-5.0843787
13.460489,2.6264718
0.36672097,-6.2843285
7.523134,7.9410634
-0.020855682,-2.7839122
11.899669,1.9934819
0.11484089,-5.1758637
9.882288,10.039674
2.65112,-4.062037
9.762274,10.367543
9.670818,10.641936
5.372705,5.970192
1.5234805,-2.4523742
-0.25437877,-5.563891
10.411388,11.571106
2.7874773,-4.9378743
2.9566298,-2.9545684
-0.63663375,-5.678598
3.1561253,-3.219362
11.777967,1.8391136
13.443794,6.056877
2.3522112,-5.5955205
10.283869,11.291386
11.244839,1.362393
-7.428714,0.7216965
-6.128665,0.6500403
-6.136593,0.7455013
3.3447285,-3.3798556
-7.067918,-0.1382628
13.124449,2.9453547
0.35721946,-6.2574825
-6.9632053,0.5277289
10.034193,11.242705
